Timestep,Particle_0_MSD,Particle_0_Noise_X,Particle_0_Noise_Y,Particle_1_MSD,Particle_1_Noise_X,Particle_1_Noise_Y,Particle_2_MSD,Particle_2_Noise_X,Particle_2_Noise_Y,Particle_3_MSD,Particle_3_Noise_X,Particle_3_Noise_Y,Particle_4_MSD,Particle_4_Noise_X,Particle_4_Noise_Y
77,2.43654736072922,-0.09772376887147609,0.1738397194049411,2.6034685767882957,0.08209228791097094,-0.09115099686768718,3.0056993739671305,0.034251897114050814,0.029674848097815815,1.1005615311555035,-0.06367951015495571,0.03481068147147108,3.9666392376807247,0.11061868381238814,-0.02962491987642396
78,2.3753297153067017,-0.006362640381960292,-0.1362194891382653,2.6123623918432037,-0.1415771013055824,0.13010156626547095,2.9345429924681254,-0.16123097359794167,0.08861381534941315,1.145577366765453,-0.1894382195925908,0.06296376030255896,4.093084986907722,-0.020758434514303988,0.13213162028034042
79,2.3184375957823176,-0.05228525870362869,-0.07329008084917776,2.62331916787132,-0.09134251263173027,-0.0017746692418393684,2.8410070090839588,-0.07985395145587611,0.022156752760823902,1.2069560168168363,0.04591801673348633,-0.029457764049999557,4.223109577641561,-0.036246763975942536,0.01854910003184902
80,2.2656116629245027,0.08630607812527138,-0.04055399140670784,2.636218626709617,0.14206182927740083,-0.012443078414381014,2.7435190489166192,0.1439293483835469,0.04248981499058154,1.2756057235331122,0.09741233692959304,-0.04918194904828303,4.354005731834819,0.03530061805464952,-0.17262347840120668
81,2.2165435840793797,-0.16238053114724024,0.1279039916459254,2.651388483233209,0.0007349575464749859,0.09208158658799956,2.6486503540254906,0.009947095810915064,-0.000704090853069996,1.347937356726927,-0.13280208591242249,-0.0026839568317151836,4.475738628256238,0.13616072363167514,0.005667029407167183
82,2.1710861357295026,0.010839824808820994,-0.12625245940527738,2.6690711412351593,-0.16496129294336137,0.07360787560448773,2.5582982145397195,0.10270458521777606,-0.06308209939074418,1.4229635890746062,-0.15204625824708864,-0.22083721890129027,4.558947257743812,0.18420001495344304,0.01113908535049599
83,2.1290026220112717,0.07810789812152732,0.0020562470429827465,2.6893337100857346,-0.04634175711160962,-0.10651560140953598,2.4724046208244532,0.08271023817633405,-0.15080143726328285,1.5005717024179956,0.09928774681886876,0.0450997370432614,4.565629844830958,-0.14577913880148494,0.012596141487863907
84,2.0900768543418557,-0.004225915609369724,-0.027842948452347385,2.71238053424981,0.11387180678560978,0.20933957250499266,2.3904749480799357,-0.09710068234106391,0.04247993134767853,1.5810028360644224,-0.10863918778775467,0.05016396822608585,4.514182977697003,-0.07781814783754998,0.12115482569117614
85,2.054201674508151,-0.05973971256906216,-0.018077675480348724,2.7386294802250246,0.12591813215132047,0.18050893504578905,2.312050345303314,0.04747109773986651,-0.025356317144820208,1.66470841366979,-0.0473017667270954,-0.18430668148602858,4.444205261423521,-0.09277682990957033,0.010156242350360773
86,2.021202248955747,0.026402900139599467,-0.10478098183782303,2.768453980993356,-0.0328440737328814,-0.013589138552518039,2.2365444017643066,0.014849780662791138,0.047087625673843274,1.7521379503482453,0.03629692923966678,0.07770822584652559,4.37453839002674,0.01974230476925817,-0.22252959027767757
87,1.9909284309805613,0.06558681791462481,0.1856393698324886,2.8020112201500833,-0.04949901989080657,-0.0879638932722936,2.163461173857534,0.029885846375057947,0.0635253064848071,1.8436497270693715,-0.036429009589241106,0.20250910834919533,4.311118308056182,0.0901685122141679,-0.038127070603166696
88,1.9632179648466683,-0.09486245101864299,-0.09421220953528094,2.839624758738225,0.08787342780476654,-0.15442733210975554,2.0925768219568144,0.16770591752971126,-0.04561256934946034,1.9392226388657905,0.03095319303042382,0.07017100579770928,4.254041689203821,-0.06836857150290852,-0.045989784265524525
89,1.9381702030303782,-0.11577492458637993,0.014930524122544149,2.881542742894876,0.10189958316879406,-0.012680196910485926,2.0234679846923678,0.11700770630296314,-0.02715583037938346,2.0373774407339336,-0.12774179987810316,0.03741725411088173,4.203308192445579,0.019829603371445355,0.268797624380741
90,1.9158034258435839,0.043345523790063144,-0.07432717673588966,2.9279294059422236,0.0437822878510287,0.08352595671994315,1.955882385567923,0.011919081300759193,-0.07290364280265381,2.1333842515569623,-0.04412628048556757,0.029062149784980153,4.163690688051437,0.01988879553556873,0.12122600577854137
91,1.8960658061571727,-0.0938993196229168,0.09261745266851373,2.9792402264680975,-0.027675103077825326,-0.07498429227081853,1.8896550289285536,-0.02311026506691535,-0.004638048590207275,2.2157289912567695,-0.04977436254228348,0.11127725178150552,4.148363238811775,-0.07420840949227768,0.014007484795982725
92,1.8790340512255133,-0.07404259806871265,-0.03855237044436119,3.035453035462971,0.11330634416071726,0.014422175687266881,1.8247664484607684,-0.11800148800942867,0.10303846938889932,2.2677600837783185,0.1725038589798016,0.04947046680502231,4.1779349319657575,0.08912902117888276,0.1220782917368932
